site,rbt_id,cleaner_did,cl_pcb_model,tc_did,tc_pcb_model,breakdown_status,running_status,work_status
Rajapur,RBT 14,0013A2004212C23C,New,0013A2004212C17B,New,,,
Rajapur,RBT 15,0013A20041B51414,Old,0013A20041EFBC7C,Old,,,
Rajapur,RBT 16,0013A2004212C3F4,New,0013A20041EFBC10,Old,,,
Rajapur,RBT 17,0013A2004212C204,New,0013A2004212C14C,New,,,
Rajapur,RBT 18,0013A200421A21CA,New,0013A2004212BEB4,New,,,
Rajapur,RBT 19,0013A200421A20B7,New,,Old,,,
Rajapur,RBT 20,0013A2004212C348,New,,Old,,,
Rajapur,RBT 21,0013A200421A2212,New,,Old,,,
Rajapur,RBT 22,0013A200421A2263,New,,Old,,,
Tembhe,RBT 1,0013A20041B51B5F,Old,0013A20041B50093,Old,,,
Tembhe,RBT 2,0013A20041B51A07,Old,0013A20041B4FD09,Old,,,
Tembhe,RBT 3,0013A20041B51237,Old,0013A20041B4F9C8,Old,,,
Tembhe,RBT 4,0013A200421B6114,New,,Old,,,
Tembhe,RBT 5,0013A200421BD34F,New,0013A20041E627AC,Old,,,
Tembhe,RBT 6,0013A20041A79EA6,Old,0013A20041B50080,Old,,,
Tembhe,RBT 7,0013A20041B51A3F,Old,0013A20041B4F6CC,Old,,,
Tembhe,RBT 8,0013A20041A0B3DD,Old,0013A20041A0B51C,Old,,,
Tembhe,RBT 9,0013A20041A6ECE3,Old,0013A20041AF0E8B,Old,,,
Tembhe,RBT 10,0013A20041A7A9D3,Old,0013A20041B4FA44,Old,,,
Tembhe,RBT 11,0013A20041A0B3BC,Old,0013A200421BAB90,New,,,
Tembhe,RBT 12,0013A200421A226A,New,0013A20041A0B38A,Old,,,
Tembhe,RBT 13,0013A20041A7A9FA,Old,0013A20041E62C4B,Old,,,
Tembhe,RBT 14,0013A20041B5193D,Old,0013A200421A14B1,New,,,
Tembhe,RBT 15,0013A20041BFD89E,Old,0013A20041B4FFEA,Old,,,
Tembhe,RBT 16,0013A20041EFBBF1,Old,0013A20041B4FF30,Old,,,
Tembhe,RBT 17,0013A200421B88E5,New,,Old,,,
Tembhe,RBT 18,0013A20041E558AC,Old,0013A20041B51479,Old,,,
Tembhe,RBT 19,0013A200421BB435,New,,Old,,,
Tembhe,RBT 20,0013A200420CEE39,Old,,Old,,,
Tembhe,RBT 21,0013A2004212C1C2,New,,Old,,,
Tembhe,RBT 22,0013A20041E558AF,Old,,Old,,,
Tembhe,RBT 23,0013A20041A0B475,Old,,Old,,,
Tembhe,RBT 24,0013A200421BCEEB,New,0013A200421BCE5B,New,,,
Tembhe,RBT 25,0013A2004212C226,New,,Old,,,
